"","Station","Traffic","lat","lon"
"185","OBERKAMPF",3133981,48.8645156235565,2.36867423637139
"186","ODEON",6059691,48.8522489363668,2.33855755868422
"187","OLYMPIADES",7000540,48.8268582996999,2.36729701204889
"188","OPERA",12288027,48.8707029411588,2.33180515640395
"189","OURCQ",3930609,48.8869750227319,2.38602958795485
"190","PALAIS-ROYAL",7448640,48.8628468213553,2.33581661194832
"191","PARMENTIER",3455199,48.8651606067898,2.37584679468414
"192","PASSY",3366482,48.8576333212361,2.28586501138629
"193","PASTEUR",4655655,48.8429383503106,2.31265644504969
"194","PELLEPORT",382266,48.868519874537,2.40135199013901
"195","PERE LACHAISE",4932986,48.8626131584417,2.38672181193918
"196","PEREIRE",4711045,48.884815,2.29825
"197","PERNETY",3282156,48.8338169001883,2.31766395823272
"198","PHILIPPE AUGUSTE",1883838,48.8583654720925,2.38938739145325
"199","PICPUS",1346859,48.8452604478542,2.40125516453104
"200","PIERRE CURIE",1406411,48.8156836605119,2.3772866229916
"201","PIGALLE",6176020,48.882561788738,2.3377861287237
"202","PLACE CLICHY",9346342,48.8836233671973,2.32730682210246
"203","PLACE D'ITALIE",11542761,48.8314061535553,2.35572137338498
"204","PLACE DES FETES",3180164,48.8768191471423,2.39347313514395
"205","PLACE MONGE",2973319,48.8431960998294,2.35217845099659
"206","PLAISANCE",4821682,48.8317625860832,2.31406734480211
"207","POISSONNIERE",3569568,48.8773395505122,2.34960623902438
"208","PONT DE LEVALLOIS-BECON",5033694,48.8971187551468,2.28048941733931
"209","PONT DE NEUILLY",6823045,48.8845093796136,2.25989172465632
"210","PONT DE SEVRES",4701284,48.8295929841028,2.23025364790437
"211","PONT MARIE",1695690,48.8533107454827,2.35745881597611
"212","PONT NEUF",1886611,48.8584022524727,2.34194923634659
"213","PORTE D'AUTEUIL",682814,48.8480737822692,2.25864782764785
"214","PORTE D'ITALIE",2432555,48.8189346110715,2.35985580265649
"215","PORTE D'IVRY",1869444,48.8212704974684,2.36909494347048
"216","PORTE D'ORLEANS",6848088,48.8226012875276,2.3248055530705
"217","PORTE DAUPHINE",2894665,48.8716448024995,2.2766480745793
"218","PORTE DE BAGNOLET",4495023,48.8643963044636,2.40799995272687
"219","PORTE DE CHAMPERRET",3595140,48.8855507197363,2.29274204135011
"220","PORTE DE CHARENTON",1902697,48.8325258939597,2.39970109937032
"221","PORTE DE CHOISY",3088532,48.8201452157747,2.36434644526859
"222","PORTE DE CLICHY",4094794,48.8943611610735,2.31373834378485
"223","PORTE DE CLIGNANCOURT",8663554,48.8972870603971,2.34477887737988
"224","PORTE DE LA CHAPELLE",2939078,48.8980716716703,2.35909154194382
"225","PORTE DE LA VILLETTE",3583870,48.8978102190581,2.38580611263705
"226","PORTE DE MONTREUIL",4906785,48.8534495044418,2.41043444867178
"227","PORTE DE PANTIN",4749922,48.8883327364608,2.39146861403051
"228","PORTE DE SAINT-CLOUD",5291193,48.8378883866228,2.25680251499702
"229","PORTE DE SAINT-OUEN",3776345,48.8972510523147,2.32883766969025
"230","PORTE DE VANVES",4410283,48.8276756893336,2.30534014881766
"231","PORTE DE VERSAILLES",6424182,48.8324619819728,2.28800279639373
"232","PORTE DE VINCENNES",6398167,48.8472657113718,2.40888352534985
"233","PORTE DES LILAS",3627528,48.8770699912197,2.40638582344912
"234","PORTE DOREE",2822951,48.8354388891914,2.40601835314784
"235","PORTE MAILLOT",9089205,48.877964502968,2.28183617255428
"236","PRE-SAINT-GERVAIS",350959,48.8799349564117,2.39907689689178
"237","PYRAMIDES",5096769,48.8669463020695,2.33366506577888
"238","PYRENEES",3404189,48.8738907818268,2.38488983901602
"239","QUAI DE LA GARE",3366405,48.8373989542089,2.37378388489769
"240","QUAI DE LA RAPEE",1197619,48.8457951983436,2.36703563413483
"241","QUATRE-SEPTEMBRE",1850860,48.8693729306069,2.33574247484458
"242","RAMBUTEAU",4429945,48.8614000355035,2.35350496222254
"243","RANELAGH",2383384,48.8553920307943,2.26997975035107
"244","RASPAIL",1819535,48.8389637143162,2.33058309684112
"245","REAUMUR-SEBASTOPOL",5326171,48.8663118301881,2.35203525525425
"246","RENNES",1272544,48.8480544328681,2.32808305123987
"247","REPUBLIQUE",18224965,48.8674860390566,2.36366959820676
"248","REUILLY-DIDEROT",5808594,48.8472381327386,2.38611818658013
"249","RICHARD LENOIR",1999612,48.8608927535125,2.3720977804711
"250","RICHELIEU-DROUOT",4114054,48.8720139167525,2.33908809938486
"251","RIQUET",2452712,48.8881235581407,2.37448742568144
"252","ROBESPIERRE",4394418,48.85556400483,2.42355673885079
"253","ROME",2892744,48.8825292240735,2.32098414419979
"254","RUE DE LA POMPE",3093242,48.8641004131629,2.27762632988678
"255","RUE DES BOULETS",2693345,48.8521417733756,2.38914280457034
"256","RUE DU BAC",2529823,48.8557564721823,2.32556882179391
"257","SAINT-AMBROISE",2877583,48.8612121032505,2.37409760383489
"258","SAINT-AUGUSTIN",2947957,48.8746742716311,2.32043139650991
"259","SAINT-DENIS-PORTE DE PARIS",3041907,48.9296276098426,2.35741016429387
"260","SAINT-DENIS-UNIVERSITE",5261145,48.9456254805762,2.36235875823436
"261","SAINT-FARGEAU",823762,48.871951099492,2.40485763553065
